TE,Saprobic_Hyphae,Parasitic_Spherules,Sph+1,Exp_Sph,Species
All genes,1.09,2.71,3.71,1.891419187,C.immitis
All genes,24.24,25.89,26.89,4.74899785,C.immitis
All genes,3.58,3.97,4.97,2.313245852,C.immitis
All genes,27.49,25.49,26.49,4.727375939,C.immitis
All genes,48.7,59.57,60.57,5.920531506,C.immitis
All genes,37.44,37.07,38.07,5.250582665,C.immitis
All genes,2.8,2.24,3.24,1.695993813,C.immitis
All genes,0.62,1.47,2.47,1.304511042,C.immitis
All genes,22.21,17.03,18.03,4.172327492,C.immitis
All genes,97.5,57.4,58.4,5.867896464,C.immitis
All genes,101.73,175.91,176.91,7.46687179,C.immitis
All genes,9.15,3.69,4.69,2.229587923,C.immitis
All genes,14.04,11.4,12.4,3.632268215,C.immitis
All genes,0.22,0.23,1.23,0.298658316,C.immitis
All genes,4.86,9.94,10.94,3.451540833,C.immitis
All genes,39.38,63,64,6,C.immitis
All genes,11.18,1.69,2.69,1.427606173,C.immitis
All genes,26.32,12.02,13.02,3.702657543,C.immitis
All genes,36.7,90.46,91.46,6.515069014,C.immitis
All genes,34.86,59.58,60.58,5.920769673,C.immitis
All genes,38.35,30.93,31.93,4.996840648,C.immitis
All genes,18.02,23.55,24.55,4.617651119,C.immitis
All genes,3.73,1,2,1,C.immitis
All genes,9.96,6.97,7.97,2.994579724,C.immitis
All genes,6.13,14.53,15.53,3.956985925,C.immitis
All genes,59.53,98.63,99.63,6.638508318,C.immitis
All genes,4.46,1.21,2.21,1.14404637,C.immitis
All genes,10.63,4.41,5.41,2.435628594,C.immitis
All genes,15.55,2.62,3.62,1.855989697,C.immitis
All genes,2.32,11.04,12.04,3.589763487,C.immitis
All genes,11.72,19.6,20.6,4.364572432,C.immitis
All genes,69.26,115.35,116.35,6.862327401,C.immitis
All genes,9.46,4.98,5.98,2.580145484,C.immitis
All genes,43.79,30.05,31.05,4.956521363,C.immitis
All genes,5.44,0.4,1.4,0.485426827,C.immitis
All genes,4.63,15.42,16.42,4.037382222,C.immitis
All genes,6.71,7.21,8.21,3.037382222,C.immitis
All genes,10.29,51.54,52.54,5.715344295,C.immitis
All genes,14.63,16.4,17.4,4.121015401,C.immitis
All genes,4.17,2.93,3.93,1.974529312,C.immitis
All genes,115.13,52.07,53.07,5.729824644,C.immitis
All genes,6.52,5.56,6.56,2.713695815,C.immitis
All genes,0.18,0.43,1.43,0.516015147,C.immitis
All genes,28.07,19.34,20.34,4.346247774,C.immitis
All genes,17.22,32.22,33.22,5.053980168,C.immitis
All genes,2.42,2.52,3.52,1.815575429,C.immitis
All genes,15.24,5.71,6.71,2.746312766,C.immitis
All genes,48.39,99.89,100.89,6.656639374,C.immitis
All genes,12.34,10.11,11.11,3.473786912,C.immitis
All genes,15.29,2.71,3.71,1.891419187,C.immitis
