TE,Saprobic_Hyphae,Parasitic_Spherules,Sph+1,Exp_Sph,Species 
All genes,3.53,4.03,5.03,2.3305584,C.immitis
All genes,4.65,7.29,8.29,3.051372102,C.immitis
All genes,10.98,3.06,4.06,2.021479727,C.immitis
All genes,62.57,54.68,55.68,5.799087306,C.immitis
All genes,31.23,22.33,23.33,4.544114402,C.immitis
All genes,20.04,21.58,22.58,4.496973581,C.immitis
All genes,0.17,4.84,5.84,2.545968369,C.immitis
All genes,3.93,16.96,17.96,4.166715445,C.immitis
All genes,8.4,2.58,3.58,1.839959587,C.immitis
All genes,7.48,14.45,15.45,3.949534933,C.immitis
All genes,53.72,40.97,41.97,5.391286558,C.immitis
All genes,80.33,59.63,60.63,5.921959917,C.immitis
All genes,6.95,15.12,16.12,4.010779839,C.immitis
All genes,17.56,17.77,18.77,4.230356745,C.immitis
All genes,79.74,17.93,18.93,4.242602506,C.immitis
All genes,39.95,41.09,42.09,5.395405605,C.immitis
All genes,134.33,80.58,81.58,6.350143602,C.immitis
All genes,151.73,121.86,122.86,6.940871478,C.immitis
All genes,35.22,16.82,17.82,4.155425432,C.immitis
All genes,16.87,15.1,16.1,4.008988783,C.immitis
All genes,8.98,13.31,14.31,3.838951767,C.immitis
All genes,3.94,16.7,17.7,4.145677455,C.immitis
All genes,33.79,24.12,25.12,4.650764559,C.immitis
All genes,1004.76,426.04,427.04,8.7382274,C.immitis
All genes,153.72,147.71,148.71,7.216357854,C.immitis
All genes,9.7,42.26,43.26,5.43496176,C.immitis
All genes,40.53,27.68,28.68,4.841973119,C.immitis
All genes,41.31,20.37,21.37,4.417515003,C.immitis
All genes,42.34,23.01,24.01,4.585563498,C.immitis
All genes,20.6,26.03,27.03,4.756489607,C.immitis
All genes,41.85,34.49,35.49,5.149340669,C.immitis
All genes,33.92,58.9,59.9,5.904484098,C.immitis
All genes,93.17,48.19,49.19,5.62029315,C.immitis
All genes,61.25,137.05,138.05,7.109047078,C.immitis
All genes,28.71,62.22,63.22,5.98230913,C.immitis
All genes,3.19,12.21,13.21,3.723558561,C.immitis
All genes,3.24,9.33,10.33,3.368768349,C.immitis
All genes,44.55,33.72,34.72,5.117695043,C.immitis
All genes,83.74,116.78,117.78,6.879950768,C.immitis
All genes,105.48,195.61,196.61,7.619192892,C.immitis
All genes,24.1,9.52,10.52,3.3950628,C.immitis
All genes,10.03,5.3,6.3,2.655351829,C.immitis
All genes,39.92,45.85,46.85,5.549977143,C.immitis
All genes,223.35,362.82,363.82,8.507081043,C.immitis
All genes,50.42,35.6,36.6,5.193771743,C.immitis
All genes,45.18,50.55,51.55,5.687900522,C.immitis
All genes,25.66,96.39,97.39,6.605701739,C.immitis
All genes,6.93,20.05,21.05,4.395748328,C.immitis
All genes,32.32,30.51,31.51,4.977737849,C.immitis
All genes,28.46,38.58,39.58,5.306699707,C.immitis
All genes,61.55,292.52,293.52,8.197314999,C.immitis
All genes,12.26,10.24,11.24,3.49057013,C.immitis
All genes,3.17,5.92,6.92,2.790772038,C.immitis
All genes,98.87,65.5,66.5,6.055282436,C.immitis
All genes,29.03,32.4,33.4,5.061776198,C.immitis
All genes,18.55,63.82,64.82,6.018367116,C.immitis
All genes,246,243.58,244.58,7.934162625,C.immitis
All genes,81.36,192.08,193.08,7.593054922,C.immitis
All genes,33.23,2.73,3.73,1.89917563,C.immitis
All genes,20.46,10.94,11.94,3.577730931,C.immitis
All genes,175.54,191.88,192.88,7.591559746,C.immitis
All genes,326.99,266.75,267.75,8.064742765,C.immitis
All genes,7.71,7.21,8.21,3.037382222,C.immitis
All genes,201.75,39.47,40.47,5.338780944,C.immitis
All genes,1.34,4.61,5.61,2.488000771,C.immitis
All genes,5.68,3.13,4.13,2.046141782,C.immitis
All genes,20.42,11.99,12.99,3.699329526,C.immitis
All genes,341.22,1264.54,1265.54,10.30553739,C.immitis
All genes,20.12,8.57,9.57,3.258518925,C.immitis
All genes,1513.03,981.1,982.1,9.939726121,C.immitis
All genes,14.86,15.82,16.82,4.0721058,C.immitis
All genes,68.49,166.92,167.92,7.391630262,C.immitis
All genes,29.21,49.73,50.73,5.664767255,C.immitis
All genes,15.19,23.01,24.01,4.585563498,C.immitis
All genes,53.05,63.67,64.67,6.015024705,C.immitis
All genes,10.97,16.64,17.64,4.140778656,C.immitis
All genes,16.41,8.24,9.24,3.207892852,C.immitis
All genes,3.51,12.68,13.68,3.773996325,C.immitis
All genes,0.92,5.02,6.02,2.589763487,C.immitis
All genes,3.22,5.46,6.46,2.691534165,C.immitis
All genes,29.51,64.89,65.89,6.041987622,C.immitis
All genes,19.37,11.82,12.82,3.680324357,C.immitis
All genes,122.61,89.25,90.25,6.495855027,C.immitis
All genes,31.15,10.49,11.49,3.522306893,C.immitis
All genes,151.75,74.52,75.52,6.23878686,C.immitis
All genes,34.73,77.19,78.19,6.288912203,C.immitis
All genes,0.95,1.77,2.77,1.469885976,C.immitis
All genes,57.32,12.36,13.36,3.739848103,C.immitis
All genes,24.89,32.24,33.24,5.054848477,C.immitis
All genes,7.81,5.16,6.16,2.622930351,C.immitis
All genes,18.75,5.17,6.17,2.625270489,C.immitis
All genes,1.93,10.41,11.41,3.512226887,C.immitis
All genes,0,0,1,0,C.immitis
All genes,84.28,110.13,111.13,6.796104521,C.immitis
All genes,233.97,82.09,83.09,6.376602952,C.immitis
All genes,41.58,13.77,14.77,3.884597921,C.immitis
All genes,4.53,18.78,19.78,4.305970521,C.immitis
All genes,6.53,9.45,10.45,3.385431037,C.immitis
All genes,3.44,9.76,10.76,3.427606173,C.immitis
All genes,6.66,5.26,6.26,2.646162657,C.immitis
All genes,13.55,68.88,69.88,6.126807703,C.immitis
All genes,29.94,98.76,99.76,6.64038956,C.immitis
All genes,62.58,48.18,49.18,5.61999983,C.immitis
All genes,4.58,11.65,12.65,3.66106548,C.immitis
All genes,8.8,15.85,16.85,4.074676686,C.immitis
All genes,131.35,58.81,59.81,5.902314812,C.immitis
All genes,17.38,22.51,23.51,4.555202634,C.immitis
All genes,220.04,89.86,90.86,6.5055734,C.immitis
All genes,48.56,54.73,55.73,5.800382248,C.immitis
All genes,565.36,441.51,442.51,8.789566248,C.immitis
All genes,1.68,2.89,3.89,1.959770155,C.immitis
All genes,41.79,69.18,70.18,6.132988043,C.immitis
All genes,138.77,126.54,127.54,6.994805976,C.immitis
All genes,33.62,33.25,34.25,5.098032083,C.immitis
All genes,27.89,17.36,18.36,4.198494154,C.immitis
All genes,390.3,2334.59,2335.59,11.18957132,C.immitis
All genes,0.3,0,1,0,C.immitis
All genes,97.38,175.97,176.97,7.467361005,C.immitis
All genes,32.67,33.25,34.25,5.098032083,C.immitis
All genes,12.68,2.77,3.77,1.914564523,C.immitis
All genes,2.82,5.53,6.53,2.707082992,C.immitis
All genes,27.87,32.42,33.42,5.062639828,C.immitis
All genes,14.44,17.06,18.06,4.174725988,C.immitis
All genes,53.51,17.39,18.39,4.200849575,C.immitis
All genes,9.93,14.16,15.16,3.922197848,C.immitis
All genes,104.18,37.7,38.7,5.274261661,C.immitis
All genes,4.4,8.6,9.6,3.263034406,C.immitis
All genes,45.41,51.66,52.66,5.718635616,C.immitis
All genes,3.49,5.19,6.19,2.629939409,C.immitis
All genes,17.91,38.09,39.09,5.28872768,C.immitis
All genes,10.36,6.83,7.83,2.969012308,C.immitis
All genes,8.78,4.82,5.82,2.541019153,C.immitis
All genes,2.7,4.78,5.78,2.531069493,C.immitis
All genes,36.37,20.78,21.78,4.444932049,C.immitis
All genes,219.41,18.34,19.34,4.27351589,C.immitis
All genes,42.73,73.32,74.32,6.215678597,C.immitis
All genes,322.61,58.37,59.37,5.891662208,C.immitis
All genes,51.17,25.91,26.91,4.750070486,C.immitis
All genes,6.67,17.16,18.16,4.182692298,C.immitis
All genes,23.35,10.46,11.46,3.518535139,C.immitis
All genes,17.92,20.78,21.78,4.444932049,C.immitis
All genes,351.33,217.65,218.65,7.772479538,C.immitis
All genes,19.62,20.32,21.32,4.414135533,C.immitis
All genes,2.62,3.3,4.3,2.10433666,C.immitis
All genes,19.99,15.67,16.67,4.059182199,C.immitis
All genes,33.67,34.91,35.91,5.166313748,C.immitis
All genes,25.67,35.01,36.01,5.170325694,C.immitis
All genes,14.67,7.91,8.91,3.155425432,C.immitis
All genes,44.13,36.05,37.05,5.211401637,C.immitis
All genes,45.58,46.12,47.12,5.558267634,C.immitis
All genes,25.65,42.49,43.49,5.442611804,C.immitis
All genes,26.47,26.02,27.02,4.75595577,C.immitis
All genes,230.61,383.21,384.21,8.585751259,C.immitis
All genes,9.87,32.03,33.03,5.045705065,C.immitis
All genes,2.08,10.3,11.3,3.498250868,C.immitis
All genes,2.97,4.81,5.81,2.538538164,C.immitis
All genes,34.17,48.97,49.97,5.642990313,C.immitis
All genes,14.27,49.88,50.88,5.669026766,C.immitis
All genes,9.54,36.3,37.3,5.221103725,C.immitis
All genes,837.1,4868.09,4869.09,12.24943645,C.immitis
All genes,136.21,65.38,66.38,6.052676724,C.immitis
All genes,61.53,126.21,127.21,6.991068275,C.immitis
All genes,230.77,65.89,66.89,6.06371864,C.immitis
All genes,21.42,7.18,8.18,3.032100843,C.immitis
All genes,12.37,6.07,7.07,2.821710215,C.immitis
All genes,24.22,19.68,20.68,4.370164281,C.immitis
All genes,129.08,98.19,99.19,6.632122775,C.immitis
All genes,26.08,62.35,63.35,5.985272714,C.immitis
All genes,26.05,60.39,61.39,5.939931765,C.immitis
All genes,3.23,3.61,4.61,2.204766751,C.immitis
All genes,23.81,23.77,24.77,4.630521963,C.immitis
All genes,44.1,60.53,61.53,5.943218087,C.immitis
All genes,99.93,69.58,70.58,6.141187525,C.immitis
All genes,43.17,18.08,19.08,4.253989266,C.immitis
All genes,82.53,53.94,54.94,5.779785005,C.immitis
All genes,46.84,22.5,23.5,4.554588852,C.immitis
All genes,8.97,0.46,1.46,0.545968369,C.immitis
All genes,117.89,150.08,151.08,7.239168879,C.immitis
All genes,41.44,92.87,93.87,6.552592254,C.immitis
All genes,26.38,12.52,13.52,3.757023247,C.immitis
All genes,16.89,36.06,37.06,5.211790976,C.immitis
All genes,16.37,21.75,22.75,4.50779464,C.immitis
All genes,92.28,60.07,61.07,5.93239194,C.immitis
All genes,8.4,6.27,7.27,2.861955364,C.immitis
All genes,9.66,12.32,13.32,3.735522177,C.immitis
All genes,8.13,23.9,24.9,4.638073837,C.immitis
All genes,2.89,3.92,4.92,2.298658316,C.immitis
All genes,44.1,91.4,92.4,6.529820947,C.immitis
All genes,107.54,115.32,116.32,6.861955364,C.immitis
All genes,19.09,12.43,13.43,3.7473874,C.immitis
All genes,1.25,2.24,3.24,1.695993813,C.immitis
All genes,17.37,7.27,8.27,3.047887329,C.immitis
All genes,68.36,94.62,95.62,6.579240501,C.immitis
All genes,77.32,81.05,82.05,6.358431429,C.immitis
All genes,16.66,17.51,18.51,4.21023299,C.immitis
All genes,97.01,67.21,68.21,6.091911357,C.immitis
All genes,67.59,30.83,31.83,4.992315252,C.immitis
All genes,27.64,24.07,25.07,4.647890091,C.immitis
All genes,9.31,15.45,16.45,4.040015679,C.immitis
All genes,53.62,69.02,70.02,6.129695157,C.immitis
All genes,70.62,61.42,62.42,5.963936452,C.immitis
All genes,17.38,12.08,13.08,3.709290636,C.immitis
All genes,30.54,10.71,11.71,3.549669171,C.immitis
All genes,3.89,2.84,3.84,1.941106311,C.immitis
All genes,209.98,335.95,336.95,8.396390716,C.immitis
All genes,83.2,100.38,101.38,6.663629259,C.immitis
All genes,121.25,129.51,130.51,7.028016544,C.immitis
All genes,1.7,1.36,2.36,1.23878686,C.immitis
All genes,10.59,14.75,15.75,3.977279923,C.immitis
All genes,61.25,44.11,45.11,5.495375381,C.immitis
All genes,44.72,28.28,29.28,4.871843649,C.immitis
All genes,40.62,61.5,62.5,5.965784285,C.immitis
All genes,6.88,12.56,13.56,3.761285273,C.immitis
All genes,29.99,20.75,21.75,4.442943496,C.immitis
All genes,0.86,4.48,5.48,2.454175893,C.immitis
All genes,1.41,3.73,4.73,2.241840184,C.immitis
All genes,0.23,1.21,2.21,1.14404637,C.immitis
All genes,0.31,0.11,1.11,0.150559677,C.immitis
All genes,12.68,16.36,17.36,4.117695043,C.immitis
All genes,25.21,127.49,128.49,7.005512273,C.immitis
All genes,5.72,38.49,39.49,5.303415463,C.immitis
All genes,5.88,19.88,20.88,4.384049807,C.immitis
All genes,230.55,267.81,268.81,8.070442999,C.immitis
All genes,71.11,111.38,112.38,6.812241495,C.immitis
All genes,9.18,3.04,4.04,2.014355293,C.immitis
All genes,109.01,84.9,85.9,6.424586226,C.immitis
All genes,0.58,3.99,4.99,2.319039816,C.immitis
All genes,0.35,0.25,1.25,0.321928095,C.immitis
All genes,0,3.03,4.03,2.010779839,C.immitis
All genes,0.23,1.27,2.27,1.182692298,C.immitis
All genes,0,1.15,2.15,1.10433666,C.immitis
All genes,0.1,2.62,3.62,1.855989697,C.immitis
All genes,0.67,4.07,5.07,2.341985747,C.immitis
All genes,70.14,47.72,48.72,5.606442228,C.immitis
All genes,9.62,55.22,56.22,5.813011549,C.immitis
All genes,12.52,25.02,26.02,4.701549057,C.immitis
All genes,48.03,62.87,63.87,5.997066545,C.immitis
All genes,4.21,0.88,1.88,0.910732662,C.immitis
All genes,82.46,123.79,124.79,6.963358519,C.immitis
All genes,29.61,52.54,53.54,5.742545234,C.immitis
All genes,33.17,25.13,26.13,4.70763522,C.immitis
All genes,21.22,17.74,18.74,4.228049048,C.immitis
All genes,7.61,24.29,25.29,4.660495132,C.immitis
All genes,42.03,42.72,43.72,5.450221496,C.immitis
All genes,11.32,2.92,3.92,1.970853654,C.immitis
All genes,77.07,70.65,71.65,6.162894799,C.immitis
All genes,70.14,118.59,119.59,6.901952948,C.immitis
All genes,32.93,21.11,22.11,4.46662712,C.immitis
All genes,69.83,91.28,92.28,6.527946099,C.immitis
All genes,8.82,9.46,10.46,3.386810946,C.immitis
All genes,31.14,30.04,31.04,4.956056652,C.immitis
All genes,176.03,57.22,58.22,5.863442934,C.immitis
All genes,59.6,73.8,74.8,6.224966365,C.immitis
All genes,5.94,2.58,3.58,1.839959587,C.immitis
All genes,2.59,4.08,5.08,2.344828497,C.immitis
All genes,33.65,97.57,98.57,6.623076721,C.immitis
All genes,30.38,101.99,102.99,6.686360453,C.immitis
All genes,60.07,96.46,97.46,6.606738317,C.immitis
All genes,1.57,8.11,9.11,3.187451054,C.immitis
All genes,13.64,3.66,4.66,2.220329955,C.immitis
All genes,40.9,46.5,47.5,5.569855608,C.immitis
All genes,35.47,135.47,136.47,7.09244003,C.immitis
All genes,16.81,18.32,19.32,4.272023189,C.immitis
All genes,16.2,11.59,12.59,3.654206378,C.immitis
All genes,30.51,22.67,23.67,4.564987801,C.immitis
All genes,57.64,48.43,49.43,5.627315001,C.immitis
All genes,90.21,102.78,103.78,6.697384631,C.immitis
All genes,35.79,50.38,51.38,5.683134985,C.immitis
All genes,84.67,97.68,98.68,6.624685811,C.immitis
All genes,7.56,16.53,17.53,4.131754091,C.immitis
All genes,40.24,26.91,27.91,4.802710219,C.immitis
All genes,137.37,167.65,168.65,7.397888508,C.immitis
All genes,5.59,9.2,10.2,3.350497247,C.immitis
All genes,20.94,2.11,3.11,1.63691458,C.immitis
All genes,0.41,2.06,3.06,1.613531653,C.immitis
All genes,0,1.4,2.4,1.263034406,C.immitis
All genes,0,16.72,17.72,4.147306699,C.immitis
All genes,0,0.37,1.37,0.454175893,C.immitis
All genes,0.09,40.62,41.62,5.37920506,C.immitis
All genes,0,0.35,1.35,0.432959407,C.immitis
All genes,0,1.77,2.77,1.469885976,C.immitis
All genes,0,0.11,1.11,0.150559677,C.immitis
All genes,0,0.63,1.63,0.704871964,C.immitis
All genes,0,0.12,1.12,0.163498732,C.immitis
All genes,0,2.05,3.05,1.608809243,C.immitis
All genes,0,0.54,1.54,0.622930351,C.immitis
All genes,0,1.02,2.02,1.014355293,C.immitis
All genes,0,1.95,2.95,1.560714954,C.immitis
All genes,2.96,13.11,14.11,3.818646083,C.immitis
All genes,3.71,19.98,20.98,4.390942773,C.immitis
All genes,4.27,24.87,25.87,4.693208149,C.immitis
All genes,85.53,41.04,42.04,5.393690764,C.immitis
All genes,54.04,113.52,114.52,6.839455765,C.immitis
All genes,6.38,27.23,28.23,4.819157224,C.immitis
All genes,0,0.88,1.88,0.910732662,C.immitis
All genes,0,0.14,1.14,0.189033824,C.immitis
All genes,0,0.16,1.16,0.214124805,C.immitis
All genes,0,0.49,1.49,0.575312331,C.immitis
All genes,0,1.03,2.03,1.021479727,C.immitis
All genes,0,0.23,1.23,0.298658316,C.immitis
All genes,5.34,6.74,7.74,2.952333566,C.immitis
All genes,3.32,31.66,32.66,5.029452886,C.immitis
All genes,191.68,200.15,201.15,7.652127928,C.immitis
All genes,0,0.51,1.51,0.59454855,C.immitis
All genes,26.81,10.51,11.51,3.524815928,C.immitis
All genes,1.28,4.23,5.23,2.386810946,C.immitis
All genes,252.73,166.69,167.69,7.389652848,C.immitis
All genes,100.11,102.17,103.17,6.688879711,C.immitis
All genes,99.99,63.88,64.88,6.019701914,C.immitis
All genes,148.8,119.38,120.38,6.911451912,C.immitis
All genes,23.26,35.07,36.07,5.172727518,C.immitis
All genes,50.85,49.03,50.03,5.644721547,C.immitis
All genes,79.18,50.45,51.45,5.685099172,C.immitis
All genes,72.92,27.69,28.69,4.842476063,C.immitis
All genes,221.52,137.85,138.85,7.117383367,C.immitis
All genes,165.46,215.58,216.58,7.758756214,C.immitis
All genes,7.27,13.41,14.41,3.84899843,C.immitis
All genes,55.23,82.22,83.22,6.378858383,C.immitis
All genes,2.26,2.11,3.11,1.63691458,C.immitis
All genes,90.7,94.18,95.18,6.572586549,C.immitis
All genes,81.71,71.56,72.56,6.181102551,C.immitis
All genes,360.27,294.72,295.72,8.208088008,C.immitis
All genes,14.39,10.07,11.07,3.468583317,C.immitis
All genes,313.31,420.82,421.82,8.72048369,C.immitis
All genes,24.88,28.83,29.83,4.898692073,C.immitis
All genes,118.73,165.59,166.59,7.380157992,C.immitis
All genes,60.54,63.37,64.37,6.008316564,C.immitis
All genes,59.21,63.11,64.11,6.002477504,C.immitis
All genes,16.19,2.18,3.18,1.669026766,C.immitis
All genes,1.72,4.77,5.77,2.528571319,C.immitis
All genes,10.28,1.43,2.43,1.280956314,C.immitis
All genes,3.6,34.18,35.18,5.136683578,C.immitis
All genes,18.4,22.28,23.28,4.541019153,C.immitis
All genes,105.39,50.86,51.86,5.696550301,C.immitis
All genes,89.1,198.11,199.11,7.63742187,C.immitis
All genes,145.71,245.46,246.46,7.945209709,C.immitis
All genes,69.02,78.43,79.43,6.311612098,C.immitis
All genes,3.21,3.05,4.05,2.017921908,C.immitis
All genes,8.39,6.72,7.72,2.948600847,C.immitis
All genes,38.08,28.13,29.13,4.864433796,C.immitis
All genes,5.63,9.75,10.75,3.426264755,C.immitis
All genes,15.33,6.9,7.9,2.981852653,C.immitis
All genes,22.62,25.31,26.31,4.717539343,C.immitis
All genes,10.01,6.97,7.97,2.994579724,C.immitis
All genes,17.41,9.15,10.15,3.343407822,C.immitis
All genes,28.86,32.51,33.51,5.066519781,C.immitis
All genes,13.11,22.22,23.22,4.537296067,C.immitis
All genes,9.56,15.38,16.38,4.033863452,C.immitis
All genes,31.15,70.02,71.02,6.150153455,C.immitis
All genes,45.46,30.56,31.56,4.9800253,C.immitis
All genes,48.56,34.97,35.97,5.168722254,C.immitis
All genes,4.58,7.39,8.39,3.068670811,C.immitis
All genes,80.35,66.47,67.47,6.076174257,C.immitis
All genes,40.09,15.69,16.69,4.06091205,C.immitis
All genes,13.9,1.98,2.98,1.575312331,C.immitis
All genes,19.43,0.53,1.53,0.613531653,C.immitis
All genes,27.91,9.11,10.11,3.337711092,C.immitis
All genes,41.75,48.9,49.9,5.64096791,C.immitis
All genes,6.15,15.35,16.35,4.031218731,C.immitis
All genes,101.32,92.56,93.56,6.547819957,C.immitis
All genes,67.88,81.97,82.97,6.374517881,C.immitis
All genes,694.24,796.32,797.32,9.639015048,C.immitis
All genes,31.65,100.2,101.2,6.66106548,C.immitis
All genes,42.9,24.63,25.63,4.679761574,C.immitis
All genes,9.41,14.51,15.51,3.955126781,C.immitis
All genes,12.6,15.41,16.41,4.036503334,C.immitis
All genes,127.08,125.56,126.56,6.983677695,C.immitis
All genes,21.53,11.23,12.23,3.612352499,C.immitis
All genes,42.54,35.96,36.96,5.207892852,C.immitis
All genes,5.88,0.24,1.24,0.310340121,C.immitis
All genes,8.92,17.03,18.03,4.172327492,C.immitis
All genes,40.59,24.77,25.77,4.687620632,C.immitis
All genes,89.5,69.76,70.76,6.144862143,C.immitis
All genes,180.89,39.75,40.75,5.348728154,C.immitis
All genes,17.14,23.23,24.23,4.5987225,C.immitis
All genes,3.38,11.24,12.24,3.613531653,C.immitis
All genes,92.85,53.68,54.68,5.772941338,C.immitis
All genes,1.54,9.17,10.17,3.346247774,C.immitis
All genes,225.98,165.3,166.3,7.377644358,C.immitis
All genes,23.7,11.46,12.46,3.639232163,C.immitis
All genes,142.19,167.6,168.6,7.397460726,C.immitis
All genes,6.14,25.02,26.02,4.701549057,C.immitis
All genes,41.76,33.32,34.32,5.100977648,C.immitis
All genes,15.63,6.9,7.9,2.981852653,C.immitis
All genes,45.99,80.28,81.28,6.344828497,C.immitis
All genes,90.92,81.54,82.54,6.367021533,C.immitis
All genes,23.6,36.25,37.25,5.21916852,C.immitis
All genes,113.31,219.41,220.41,7.78404587,C.immitis
All genes,3.7,5.55,6.55,2.711494907,C.immitis
All genes,13.09,11.71,12.71,3.667892125,C.immitis
All genes,8.06,29.06,30.06,4.909773104,C.immitis
All genes,10.12,3.78,4.78,2.257010618,C.immitis
All genes,14.23,3.01,4.01,2.003602237,C.immitis
All genes,16.98,5.91,6.91,2.788685711,C.immitis
All genes,6.62,7.82,8.82,3.140778656,C.immitis
All genes,23.83,30.62,31.62,4.982765463,C.immitis
All genes,150.28,71.42,72.42,6.178316272,C.immitis
All genes,22.63,34.08,35.08,5.132576843,C.immitis
All genes,1.06,0.55,1.55,0.632268215,C.immitis
All genes,17.47,13.46,14.46,3.853995647,C.immitis
All genes,5.59,7.06,8.06,3.010779839,C.immitis
All genes,18.89,2.9,3.9,1.963474124,C.immitis
All genes,25.23,20.69,21.69,4.438958148,C.immitis
All genes,43.97,45.41,46.41,5.536363792,C.immitis
All genes,4.46,2.32,3.32,1.731183242,C.immitis
All genes,5.6,6.9,7.9,2.981852653,C.immitis
All genes,10.71,3.92,4.92,2.298658316,C.immitis
All genes,1.75,3.95,4.95,2.307428525,C.immitis
All genes,9,8.51,9.51,3.249445341,C.immitis
All genes,20.06,39.43,40.43,5.337354298,C.immitis
All genes,6.86,18.64,19.64,4.295723025,C.immitis
All genes,9.24,10.59,11.59,3.534808661,C.immitis
All genes,7.52,37.2,38.2,5.255500733,C.immitis
All genes,114.67,68.54,69.54,6.119771162,C.immitis
All genes,1.89,3.71,4.71,2.23572706,C.immitis
All genes,0.57,3.26,4.26,2.09085343,C.immitis
All genes,22.16,27.3,28.3,4.822730148,C.immitis
All genes,54.31,37.28,38.28,5.258518925,C.immitis
All genes,13.4,9.17,10.17,3.346247774,C.immitis
All genes,1209.12,1170.2,1171.2,10.19377174,C.immitis
All genes,16.54,13.43,14.43,3.850999395,C.immitis
All genes,37.78,13.73,14.73,3.880685525,C.immitis
All genes,24.69,13.24,14.24,3.831877241,C.immitis
All genes,16.38,28.36,29.36,4.875780063,C.immitis
All genes,20.29,24.34,25.34,4.663344619,C.immitis
All genes,200.45,108.24,109.24,6.771357409,C.immitis
All genes,15.22,6.18,7.18,2.843983844,C.immitis
All genes,132.58,41.37,42.37,5.404971224,C.immitis
All genes,24.45,2.07,3.07,1.618238656,C.immitis
All genes,29.9,44.4,45.4,5.504620392,C.immitis
All genes,87.76,127.75,128.75,7.008428622,C.immitis
All genes,25.15,13.46,14.46,3.853995647,C.immitis
All genes,28.64,43.73,44.73,5.483170853,C.immitis
All genes,17.6,8.99,9.99,3.320484678,C.immitis
All genes,5.01,4.3,5.3,2.40599236,C.immitis
All genes,197.1,490.99,491.99,8.942485182,C.immitis
All genes,31.1,28.58,29.58,4.886550147,C.immitis
All genes,151.4,109.06,110.06,6.782146424,C.immitis
All genes,11.29,9.2,10.2,3.350497247,C.immitis
All genes,16.94,24.56,25.56,4.675815931,C.immitis
All genes,32.36,24.99,25.99,4.699884729,C.immitis
All genes,40.19,11.53,12.53,3.64731451,C.immitis
All genes,49.16,30.46,31.46,4.975446766,C.immitis
All genes,10.34,14.93,15.93,3.993674362,C.immitis
All genes,22.14,12.17,13.17,3.71918344,C.immitis
All genes,8.18,4.23,5.23,2.386810946,C.immitis
All genes,3.84,8.46,9.46,3.241840184,C.immitis
All genes,28.96,46.36,47.36,5.565597176,C.immitis
All genes,337.89,976.89,977.89,9.93352838,C.immitis
All genes,25.73,46.24,47.24,5.56193706,C.immitis
All genes,20.09,11.04,12.04,3.589763487,C.immitis
All genes,75.1,32.12,33.12,5.049630768,C.immitis
All genes,55.4,27.41,28.41,4.828326926,C.immitis
All genes,3.98,4.86,5.86,2.550900665,C.immitis
All genes,25.07,39.05,40.05,5.323730338,C.immitis
All genes,21.51,25.57,26.57,4.731726323,C.immitis
All genes,23.18,30.21,31.21,4.963936452,C.immitis
All genes,14.5,27.37,28.37,4.826294245,C.immitis
All genes,142.28,14.15,15.15,3.921245889,C.immitis
All genes,290.05,33.88,34.88,5.124328135,C.immitis
All genes,31.2,18.17,19.17,4.260778432,C.immitis
All genes,20.4,95.62,96.62,6.594249948,C.immitis
All genes,96.48,25.25,26.25,4.714245518,C.immitis
All genes,14.95,30.9,31.9,4.995484519,C.immitis
All genes,20.33,13.72,14.72,3.879705766,C.immitis
All genes,18.26,25.98,26.98,4.753818443,C.immitis
All genes,7.41,1.08,2.08,1.056583528,C.immitis
All genes,56.16,133.53,134.53,7.071784117,C.immitis
All genes,28.11,32.81,33.81,5.079378111,C.immitis
All genes,7.2,4.42,5.42,2.438292852,C.immitis
All genes,81.72,53.75,54.75,5.77478706,C.immitis
All genes,48.31,51.83,52.83,5.723285505,C.immitis
All genes,15.4,9.19,10.19,3.349082146,C.immitis
All genes,27.47,17.66,18.66,4.221877081,C.immitis
All genes,3.54,15.5,16.5,4.044394119,C.immitis
All genes,18.93,15.64,16.64,4.056583528,C.immitis
All genes,31.79,44.83,45.83,5.518220381,C.immitis
All genes,33.26,25.69,26.69,4.7382274,C.immitis
All genes,119.78,55.43,56.43,5.818390444,C.immitis
All genes,0.41,0.23,1.23,0.298658316,C.immitis
All genes,34.03,29.59,30.59,4.934988202,C.immitis
All genes,95.71,79.66,80.66,6.333781501,C.immitis
All genes,59.49,62.02,63.02,5.977737849,C.immitis
All genes,10.45,6.23,7.23,2.853995647,C.immitis
All genes,16.03,9.3,10.3,3.364572432,C.immitis
All genes,177.93,158.16,159.16,7.314333994,C.immitis
All genes,0.49,1.86,2.86,1.516015147,C.immitis
All genes,66.3,99.77,100.77,6.654922391,C.immitis
All genes,21.78,32.06,33.06,5.04701482,C.immitis
All genes,4.18,17.77,18.77,4.230356745,C.immitis
All genes,16.34,20.15,21.15,4.402585758,C.immitis
All genes,61.01,69.02,70.02,6.129695157,C.immitis
All genes,6.57,11.28,12.28,3.618238656,C.immitis
All genes,6.78,17.65,18.65,4.221103725,C.immitis
All genes,2.45,2.03,3.03,1.599317794,C.immitis
All genes,18.7,18.71,19.71,4.300855871,C.immitis
All genes,66.21,82.53,83.53,6.384222533,C.immitis
All genes,71.06,28.78,29.78,4.896271849,C.immitis
All genes,31.2,59.4,60.4,5.916476644,C.immitis
All genes,51.97,54.38,55.38,5.791293149,C.immitis
